docno,qid,query_score,query,score,freq
D1996103,1037798,0.0069,who is robert gray,20.3501,"{'gray': 8, 'who': 7, 'robert': 2, 'is': 6}"
D3533929,1037798,0.0069,who is robert gray,20.9989,"{'gray': 5, 'who': 0, 'robert': 1, 'is': 4}"
D3533930,1037798,0.0069,who is robert gray,21.5722,"{'gray': 2, 'who': 3, 'robert': 2, 'is': 3}"
D1996104,1037798,0.0069,who is robert gray,21.7613,"{'gray': 3, 'who': 3, 'robert': 4, 'is': 8}"
D3533928,1037798,0.0069,who is robert gray,22.6446,"{'gray': 21, 'who': 1, 'robert': 21, 'is': 7}"
D2198242,1063750,0.0281,why did the us volunterilay enter ww1,28.0204,"{'why': 2, 'ww1': 0, 'us': 0, 'enter': 0, 'the': 46, 'did': 14, 'volunterilay': 0}"
D2629457,1063750,0.0281,why did the us volunterilay enter ww1,28.1865,"{'why': 0, 'ww1': 1, 'us': 0, 'enter': 1, 'the': 27, 'did': 6, 'volunterilay': 0}"
D3018035,1063750,0.0281,why did the us volunterilay enter ww1,28.2888,"{'why': 0, 'ww1': 1, 'us': 1, 'enter': 3, 'the': 49, 'did': 2, 'volunterilay': 0}"
D1779434,1063750,0.0281,why did the us volunterilay enter ww1,28.4686,"{'why': 1, 'ww1': 2, 'us': 0, 'enter': 0, 'the': 40, 'did': 6, 'volunterilay': 0}"
D2427523,1063750,0.0281,why did the us volunterilay enter ww1,29.7786,"{'why': 2, 'ww1': 5, 'us': 1, 'enter': 0, 'the': 35, 'did': 8, 'volunterilay': 0}"
D1312170,1106007,0.0206,define visceral,23.836,"{'define': 3, 'visceral': 0}"
D830758,1106007,0.0206,define visceral,24.7177,"{'define': 0, 'visceral': 2}"
D70195,1106007,0.0206,define visceral,24.7353,"{'define': 3, 'visceral': 5}"
D2568724,1106007,0.0206,define visceral,25.4057,"{'define': 1, 'visceral': 7}"
D1096181,1106007,0.0206,define visceral,26.2115,"{'define': 0, 'visceral': 19}"
D686052,443396,0.0048,lps laws definition,24.2612,"{'laws': 1, 'lps': 0, 'definition': 0}"
D3272237,443396,0.0048,lps laws definition,24.4976,"{'laws': 0, 'lps': 3, 'definition': 1}"
D1024943,443396,0.0048,lps laws definition,24.4976,"{'laws': 0, 'lps': 3, 'definition': 1}"
D1925226,443396,0.0048,lps laws definition,26.4125,"{'laws': 0, 'lps': 0, 'definition': 0}"
D3431635,443396,0.0048,lps laws definition,27.3058,"{'laws': 0, 'lps': 0, 'definition': 0}"
D1086197,489204,0.0359,right pelvic pain causes,30.3242,"{'causes': 12, 'pain': 38, 'pelvic': 23, 'right': 0}"
D3259995,489204,0.0359,right pelvic pain causes,30.3836,"{'causes': 2, 'pain': 8, 'pelvic': 9, 'right': 0}"
D668297,489204,0.0359,right pelvic pain causes,30.4951,"{'causes': 3, 'pain': 5, 'pelvic': 11, 'right': 0}"
D2130840,489204,0.0359,right pelvic pain causes,30.7478,"{'causes': 1, 'pain': 12, 'pelvic': 14, 'right': 0}"
D1353625,489204,0.0359,right pelvic pain causes,30.7481,"{'causes': 4, 'pain': 5, 'pelvic': 21, 'right': 0}"
